wavelength_nm,flux
472.93353,4831.4717
473.04242,4789.2705
473.15137,4846.659
473.26035,4835.6206
473.36932,4763.4775
473.47833,4919.164
473.58734,4860.596
473.69644,4818.5996
473.8055,4801.958
473.91464,4759.981
474.02377,4674.7695
474.1329,4644.3745
474.2421,4741.2334
474.35132,4766.4907
474.46054,4822.786
474.56982,4810.42
474.6791,4645.208
474.78842,4651.2485
474.89777,4737.737
475.00714,4683.7676
475.11652,4699.94
475.22592,4717.4014
475.33536,4766.4287
475.44482,4791.787
475.5543,4685.7754
475.66382,4697.058
475.77335,4760.498
475.8829,4713.7896
475.9925,4683.789
476.1021,4665.05
476.21176,4663.967
476.32144,4647.943
476.4311,4626.5054
476.54083,4646.2505
476.65057,4588.834
476.76035,4612.376
476.87012,4596.4854
476.97992,4636.6064
477.08978,4704.62
477.19965,4755.3096
477.3095,4672.59
477.41943,4689.551
477.5294,4630.8813
477.63934,4626.2812
477.74936,4694.093
477.85938,4697.457
477.96942,4648.3247
478.0795,4648.4614
478.1896,4572.917
478.2997,4688.5244
478.40985,4693.9272
478.52002,4652.9067
478.63022,4591.5273
478.74042,4519.2085
478.85068,4587.344
478.96094,4652.01
479.07123,4544.3965
479.18158,4611.461
479.29193,4579.7285
479.40228,4632.932
479.5127,4540.0596
479.62314,4591.643
479.73358,4565.3564
479.84406,4455.119
479.95453,4401.839
480.0651,4484.0103
480.17563,4527.1133
480.2862,4472.372
480.39682,4587.9277
480.50742,4433.738
480.61807,4498.3594
480.72876,4511.6025
480.83945,4396.5513
480.9502,4516.4717
481.06094,4523.3433
481.17172,4502.7227
481.28256,4391.672
481.39337,4408.4863
481.50424,4474.7285
481.61514,4294.6797
481.726,4447.7827
481.83698,4491.223
481.9479,4504.1367
482.0589,4447.646
482.16992,4420.78
482.28094,4437.1973
482.392,4402.9907
482.5031,4412.3945
482.6142,4323.575
482.72534,4286.1035
482.83652,4396.831
482.9477,4386.3545
483.05893,4393.627
483.17017,4460.0015
483.28143,4417.402
483.39273,4379.2104
483.50406,4373.683
483.6154,4361.5405
483.72675,4333.057
483.83813,4364.5244
483.94955,4361.5103
484.06104,4402.3496
484.17252,4368.0054
484.284,4360.496
484.3955,4383.8354
484.50708,4346.624
484.61865,4314.3027
484.73022,4384.6035
484.84186,4266.861
484.95352,4353.8706
485.0652,4340.1562
485.1769,4223.9146
485.28864,4302.792
485.4004,4279.756
485.51215,4194.88
485.62396,4237.0103
485.73578,4221.015
485.84766,4191.0366
485.95953,4155.7437
486.07144,4064.6233
486.1834,4127.5337
486.29535,4045.6897
486.40732,3983.1575
486.51935,3842.2903
486.6314,3712.6372
486.74347,3696.2427
486.85553,3436.9788
486.96762,3255.6653
487.07977,2828.0603
487.19196,2651.6836
487.30414,2615.1516
487.41635,2695.4417
487.52863,2969.2444
487.64087,3305.3406
487.75317,3552.7263
487.86554,3667.8186
487.97784,3700.2197
488.09024,3931.8184
488.20264,3891.5051
488.31503,3924.1526
488.4275,3957.781
488.53998,4044.1047
488.6525,4055.1677
488.76498,4101.092
488.8776,4102.9043
488.99014,4125.0996
489.10272,4125.3896
489.2154,4091.2122
489.32803,4111.213
489.44073,4181.8677
489.55347,4171.8745
489.66617,4085.4548
489.77896,4086.2458
489.89175,4134.74
490.00455,4197.503
490.11737,4179.8564
490.2303,4167.17
490.34317,4220.384
490.45605,4173.481
490.569,4110.487
490.68198,4131.4204
490.79498,4219.238
490.90802,4163.283
491.02106,4151.4443
491.13412,4160.794
491.24722,4180.6294
491.36035,4126.7153
491.47348,4173.5034
491.58667,4116.0337
491.6999,4078.3845
491.81314,4054.937
491.92636,4085.1575
492.03964,4078.5498
492.15298,4084.3672
492.2663,4139.766
492.3797,4107.248
492.49307,4112.6484
492.60645,4145.593
492.7199,4042.9788
492.8334,3951.3909
492.94687,3929.4707
493.0604,3860.1675
493.17392,3574.3801
493.2875,3449.7214
493.40106,3356.5022
493.5147,3595.657
493.62836,3679.1362
493.74203,3940.3928
493.85577,3991.6494
493.96948,3924.4766
494.08325,3972.2944
494.19702,3972.86
494.3108,4015.4714
494.42465,4003.8044
494.5385,3920.3762
494.6524,4079.3872
494.7663,3947.5012
494.88022,4049.4182
494.9942,3982.0503
495.10822,4048.441
495.22223,3973.014
495.33624,3957.2627
495.45035,3945.6619
495.5644,3985.5898
495.67853,3976.8442
495.79266,3937.2773
495.90683,3919.7622
496.02106,3927.5525
496.1353,3934.0427
496.2495,3912.4487
496.36383,3911.9614
496.47812,3926.3923
496.59244,3921.9417
496.7068,3928.3032
496.8212,3905.5713
496.9356,3893.8936
497.05005,3923.1763
497.1645,3860.0496
497.279,3878.731
497.3935,3919.555
497.50806,3845.2896
497.62262,3818.1294
497.7372,3833.6572
497.85187,3881.796
497.9665,3861.9287
498.08115,3859.4395
498.19586,3894.1924
498.3106,3891.909
498.42535,3908.7722
498.54013,3912.3916
498.65494,3869.5076
498.76978,3880.8762
498.8846,3862.852
498.9995,3888.3347
499.1144,3839.6724
499.22934,3882.7986
499.34433,3897.277
499.45932,3881.4753
499.5743,3838.6082
499.68936,3801.1584
499.80444,3818.7039
499.91953,3790.002
500.03467,3866.8242
500.1498,3794.9414
500.26498,3786.1265
500.3802,3708.4604
500.49542,3800.6973
500.6107,3780.6768
500.72598,3754.9
500.84125,3783.4258
500.9566,3756.1816
501.07196,3789.648
501.18735,3724.4868
501.3028,3709.8433
501.4182,3673.395
501.5337,3592.0334
501.64917,3680.24
501.7647,3678.0437
501.88028,3694.3125
501.99585,3630.877
502.11142,3629.5945
502.22705,3617.3584
502.3427,3624.0571
502.4584,3562.8943
502.57413,3414.4907
502.68985,3364.5867
502.8056,3406.5276
502.9214,3495.0598
503.0372,3565.1892
503.15308,3686.4336
503.2689,3738.0789
503.38483,3685.344
503.50073,3738.037
503.6167,3792.8936
503.73267,3717.1184
503.8487,3638.8118
503.9647,3626.2656
504.08075,3698.9639
